"","block","spp","ind","treatment","fine_root_g","total_root_g"
"96","B3","SEAL",9,"WW",0.2104,0.2104
"97","B3","SEAL",16,"WW",0.5985,0.6222
"98","B3","SESE",11,"WD",0.7769,0.7769
"99","B3","SESE",13,"WW",0.6113,0.6113
"100","B3","SESE",16,"WW",0.5089,0.5089
"101","B3","SESE",17,"WD",0.5068,0.5068
"102","B3","SITR",3,"WD",0.8406,0.8406
"103","B3","SITR",8,"WW",0.1862,0.1862
"104","B3","SITR",13,"WW",0.1703,0.1703
"105","B3","SITR",14,"WD",0.2019,0.2019
"106","B3","SOBI",10,"WD",5.4516,5.7357
"107","B3","SOBI",14,"WW",5.8197,6.4022
"108","B3","SOBI",16,"WW",6.8966,6.8966
"109","B3","SOBI",19,"WD",0.1372,0.1372
"110","B3","SYNO",1,"WW",4.152,6.7461
"111","B3","SYNO",3,"WD",3.1646,4.1619
"112","B3","SYNO",7,"WW",3.7399,6.8243
"113","B3","SYNO",12,"WD",2.7685,5.2846
"114","B3","VAMA",7,"WD",0.02,0.02
"115","B4","DASP",2,"WD",0.0836,0.0836
"116","B4","DASP",4,"WW",0.1611,0.1611
"117","B4","DASP",16,"WW",0.4391,0.4391
"118","B4","DEFL",4,"WD",1.5094,1.5094
"119","B4","DEFL",19,"WW",2.0839,2.0839
"120","B4","EMNI",8,"WD",0.0011,0.0011
"121","B4","EMNI",10,"WW",0.0054,0.0054
"122","B4","EMNI",14,"WD",0.0024,0.0024
"123","B4","FERU",20,"WW",1.2049,1.2049
"124","B4","PLMA",3,"WW",0.3932,0.3932
"125","B4","PLMA",7,"WD",0.4498,0.4498
"126","B4","PLMA",9,"WW",0.2154,0.2154
"127","B4","PLMA",13,"WD",0.4204,0.4204
"128","B4","SEAC",8,"WW",0.1449,0.1449
"129","B4","SEAC",14,"WW",0.2215,0.2215
"130","B4","SEAC",16,"WD",0.4071,0.4071
"131","B4","SEAC",18,"WD",0.278,0.278
"132","B4","SEAL",10,"WW",0.1759,0.1759
"133","B4","SEAL",11,"WW",0.5238,0.5238
"134","B4","SEAL",17,"WD",0.6768,0.6768
"135","B4","SEAL",20,"WD",0.7152,0.771
"136","B4","SESE",1,"WD",0.731,0.731
"137","B4","SESE",2,"WW",0.6814,0.6814
"138","B4","SESE",12,"WD",1.0089,1.0089
"139","B4","SESE",15,"WW",0.5939,0.5939
"140","B4","SITR",10,"WW",0.1333,0.1333
"141","B4","SITR",12,"WD",0.4137,0.4137
"142","B4","SITR",16,"WD",0.6562,0.6562
"143","B4","SITR",17,"WW",0.0144,0.0144
"144","B4","SOBI",3,"WW",7.207,7.7797
"145","B4","SOBI",4,"WD",2.7988,3.1173
"146","B4","SOBI",6,"WW",4.2073,4.5594
"147","B4","SOBI",7,"WD",6.4688,6.6863
"148","B4","SYNO",5,"WD",2.0219,2.8112
"149","B4","SYNO",10,"WD",2.7749,2.7749
"150","B4","SYNO",15,"WW",2.1816,5.9397
"151","B4","SYNO",18,"WW",3.953,6.9128
"152","B4","VAMA",14,"WW",0.0026,0.0026
"153","B5","DASP",8,"WD",0.0577,0.0577
"154","B5","DASP",11,"WW",0.1634,0.1634
"155","B5","DASP",13,"WW",0.1195,0.1195
"156","B5","DASP",19,"WD",0.1619,0.1619
"157","B5","DEFL",3,"WW",1.9556,1.9556
"158","B5","DEFL",7,"WD",1.741,1.741
"159","B5","DEFL",17,"WW",2.0896,2.0896
"160","B5","EMNI",6,"WW",0.003,0.003
"161","B5","EMNI",17,"WD",0.0037,0.0037
"162","B5","FERU",8,"WD",0.4498,0.4498
"163","B5","FERU",10,"WD",1.0258,1.0258
"164","B5","PLMA",8,"WW",0.5077,0.5077
"165","B5","PLMA",15,"WD",2.4157,2.4157
"166","B5","PLMA",19,"WD",0.4554,0.4554
"167","B5","PLMA",20,"WW",0.2396,0.2396
"168","B5","SEAC",5,"WW",0.1778,0.1778
"169","B5","SEAC",6,"WD",0.945,0.945
"170","B5","SEAC",7,"WD",0.2416,0.2416
"171","B5","SEAC",20,"WW",0.2991,0.2991
"172","B5","SEAL",6,"WW",0.0879,0.0879
"173","B5","SEAL",15,"WW",0.1545,0.1545
"174","B5","SEAL",18,"WD",0.4053,0.4053
"175","B5","SEAL",19,"WD",0.3907,0.3907
"176","B5","SESE",4,"WW",0.3445,0.3445
"177","B5","SESE",5,"WD",0.9584,0.9584
"178","B5","SESE",6,"WD",0.6238,0.6238
"179","B5","SESE",14,"WW",0.5572,0.5572
"180","B5","SITR",1,"WW",0.4018,0.4018
"181","B5","SITR",9,"WD",0.5317,0.5317
"182","B5","SITR",15,"WD",0.7615,0.7615
"183","B5","SITR",19,"WW",0.5129,0.5129
"184","B5","SOBI",1,"WW",7.3802,7.6153
"185","B5","SOBI",8,"WD",3.3271,3.5075
"186","B5","SOBI",12,"WD",2.0186,2.1999
"187","B5","SOBI",18,"WW",5.6386,6.3246
"188","B5","SYNO",4,"WW",5.1114,7.5903
"189","B5","SYNO",6,"WD",3.9911,5.4652
"190","B5","SYNO",8,"WW",1.8463,7.9549
"191","B5","SYNO",20,"WD",0.7071,1.0825
