recorded_by_mdy,typed_by_mdy,session,block,pot_ID,treatment,sample_month,sample_day,sample_year,period,weight_lbs,weight_grams,remarks
GX - 07/06/2018,GX - 07/09/2018,1,B1,SOBI-5,WD,7,6,2018,T2,3.71,1683,
GX - 07/06/2018,GX - 07/09/2018,1,B1,PLMA-10,WD,7,6,2018,T2,4.46,2023,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SYNO-11,WD,7,6,2018,T2,3.51,2042,typo in weight_grams column; changed from 1592 to 2042
GX - 07/06/2018,GX - 07/09/2018,1,B1,SESE-18,WD,7,6,2018,T2,4.22,1914,
GX - 07/06/2018,GX - 07/09/2018,1,B1,VAMA-20,WD,7,6,2018,T2,4.44,2014,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SITR-7,WD,7,6,2018,T2,4.38,1987,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SEAL-4,WD,7,6,2018,T2,3.83,1737,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SEAC-17,WD,7,6,2018,T2,4.49,2037,
GX - 07/06/2018,GX - 07/09/2018,1,B1,DASP-12,WD,7,6,2018,T2,4.12,1869,
GX - 07/06/2018,GX - 07/09/2018,1,B1,DEFL-13,WD,7,6,2018,T2,4.24,1923,
GX - 07/06/2018,GX - 07/09/2018,1,B1,FERU-1,WD,7,6,2018,T4,3.73,1692,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SEAC-11,WD,7,7,2018,T3,4.07,1846,
GX - 07/07/2018,GX - 07/09/2018,1,B1,DEFL-18,WD,7,7,2018,T3,3.97,1801,
GX - 07/07/2018,GX - 07/09/2018,1,B1,EMNI-12,WD,7,7,2018,T3,4.29,1946,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SC-15,WD,7,7,2018,T3,3.48,1578,
GX - 07/07/2018,GX - 07/09/2018,1,B1,PLMA-16,WD,7,7,2018,T3,3.94,1787,
GX - 07/07/2018,GX - 07/09/2018,1,B1,DASP-1,WD,7,7,2018,T3,4.01,1819,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SYNO-9,WD,7,7,2018,T3,3.91,1774,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SOBI-17,WD,7,7,2018,T3,3.65,1656,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SITR-5,WD,7,7,2018,T3,4.33,1964,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SESE-20,WD,7,7,2018,T3,3.93,1783,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SEAL-14,WD,7,7,2018,T3,3.96,1796,
GX - 07/07/2018,GX - 07/09/2018,1,B1,VAMA-19,WD,7,7,2018,T3,3.96,1796,
GX - 07/13/2018,GX - 07/13/2018,2,B1,FERU-1,WD,7,13,2018,T1,3.26,1479,
GX - 07/06/2018,GX - 07/09/2018,1,B1,EMNI-13,WD,7,6,2018,T3,4.59,2082,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SC-1,WD,7,6,2018,T3,4.06,1842,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SOBI-5,WD,7,6,2018,T3,3.52,1597,
GX - 07/06/2018,GX - 07/09/2018,1,B1,PLMA-10,WD,7,6,2018,T3,4.28,1941,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SYNO-11,WD,7,6,2018,T3,4.36,1978,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SESE-18,WD,7,6,2018,T3,4.11,1864,
GX - 07/06/2018,GX - 07/09/2018,1,B1,VAMA-20,WD,7,6,2018,T3,4.35,1973,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SITR-7,WD,7,6,2018,T3,4.28,1941,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SEAL-4,WD,7,6,2018,T3,3.70,1678,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SEAC-17,WD,7,6,2018,T3,4.38,1987,
GX - 07/06/2018,GX - 07/09/2018,1,B1,DASP-12,WD,7,6,2018,T3,4.07,1846,
GX - 07/06/2018,GX - 07/09/2018,1,B1,DEFL-13,WD,7,6,2018,T3,4.09,1855,
GX - 07/13/2018,GX - 07/13/2018,2,B1,FERU-1,WD,7,13,2018,T2,4.43,2009,
GX - 07/08/2018,GX - 07/09/2018,1,B1,SEAC-11,WD,7,8,2018,T4,3.98,1805,
GX - 07/08/2018,GX - 07/09/2018,1,B1,DEFL-18,WD,7,8,2018,T4,3.83,1737,
GX - 07/08/2018,GX - 07/09/2018,1,B1,EMNI-12,WD,7,8,2018,T4,4.29,1946,
GX - 07/08/2018,GX - 07/09/2018,1,B1,SC-15,WD,7,8,2018,T4,3.40,1542,
GX - 07/08/2018,GX - 07/09/2018,1,B1,PLMA-16,WD,7,8,2018,T4,3.87,1755,
GX - 07/08/2018,GX - 07/09/2018,1,B1,DASP-1,WD,7,8,2018,T4,3.93,1783,
GX - 07/08/2018,GX - 07/09/2018,1,B1,SYNO-9,WD,7,8,2018,T4,3.74,1696,
GX - 07/08/2018,GX - 07/09/2018,1,B1,SOBI-17,WD,7,8,2018,T4,3.51,1592,
GX - 07/08/2018,GX - 07/09/2018,1,B1,SITR-5,WD,7,8,2018,T4,4.25,1928,
GX - 07/08/2018,GX - 07/09/2018,1,B1,SESE-20,WD,7,8,2018,T4,4.24,1733,typo in weight_grams column; changed from 1923 to 1733
GX - 07/08/2018,GX - 07/09/2018,1,B1,SEAL-14,WD,7,8,2018,T4,3.83,1737,
GX - 07/08/2018,GX - 07/09/2018,1,B1,VAMA-19,WD,7,8,2018,T4,4.05,1837,
GX - 07/14/2018,GX - 07/14/2018,2,B1,FERU-1,WD,7,14,2018,T3,4.32,1960,
GX - 07/06/2018,GX - 07/09/2018,1,B1,EMNI-13,WD,7,6,2018,T4,4.46,2023,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SC-1,WD,7,6,2018,T4,3.93,1783,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SOBI-5,WD,7,6,2018,T4,3.29,1492,
GX - 07/06/2018,GX - 07/09/2018,1,B1,PLMA-10,WD,7,6,2018,T4,4.07,1846,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SYNO-11,WD,7,6,2018,T4,4.18,1896,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SESE-18,WD,7,6,2018,T4,3.93,1783,
GX - 07/06/2018,GX - 07/09/2018,1,B1,VAMA-20,WD,7,6,2018,T4,4.24,1923,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SITR-7,WD,7,6,2018,T4,4.18,1896,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SEAL-4,WD,7,6,2018,T4,3.53,1601,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SEAC-17,WD,7,6,2018,T4,4.28,1941,
GX - 07/06/2018,GX - 07/09/2018,1,B1,DASP-12,WD,7,6,2018,T4,3.98,1805,
GX - 07/06/2018,GX - 07/09/2018,1,B1,DEFL-13,WD,7,6,2018,T4,3.95,1792,
GX - 07/15/2018,GX - 07/15/2018,2,B1,FERU-1,WD,7,15,2018,T4,4.33,1964,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SEAC-3,WD,7,6,2018,T1,3.84,1742,
GX - 07/06/2018,GX - 07/09/2018,1,B2,DEFL-20,WD,7,6,2018,T1,2.99,1356,
GX - 07/06/2018,GX - 07/09/2018,1,B2,EMNI-9,WD,7,6,2018,T1,3.65,1656,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SC-7,WD,7,6,2018,T1,2.92,1324,
GX - 07/06/2018,GX - 07/09/2018,1,B2,PLMA-6,WD,7,6,2018,T1,3.41,1547,
GX - 07/06/2018,GX - 07/09/2018,1,B2,DASP-6,WD,7,6,2018,T1,3.19,1447,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SYNO-17,WD,7,6,2018,T1,3.07,1393,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SOBI-9,WD,7,6,2018,T1,3.01,1365,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SITR-2,WD,7,6,2018,T1,3.67,1665,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SESE-7,WD,7,6,2018,T1,3.60,1633,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SEAL-8,WD,7,6,2018,T1,3.30,1497,
GX - 07/06/2018,GX - 07/09/2018,1,B2,VAMA-3,WD,7,6,2018,T1,3.76,1705,
GX - 07/22/2018,GX - 07/23/2018,3,B1,FERU-1,WD,7,22,2018,T4,4.47,2028,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SEAC-3,WD,7,6,2018,T2,4.31,1955,
GX - 07/06/2018,GX - 07/09/2018,1,B2,DEFL-20,WD,7,6,2018,T2,4.00,1814,
GX - 07/06/2018,GX - 07/09/2018,1,B2,EMNI-9,WD,7,6,2018,T2,4.60,2087,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SC-7,WD,7,6,2018,T2,3.88,1760,
GX - 07/06/2018,GX - 07/09/2018,1,B2,PLMA-6,WD,7,6,2018,T2,4.12,1869,
GX - 07/06/2018,GX - 07/09/2018,1,B2,DASP-6,WD,7,6,2018,T2,3.93,1783,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SYNO-17,WD,7,6,2018,T2,4.09,1855,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SOBI-9,WD,7,6,2018,T2,3.94,1787,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SITR-2,WD,7,6,2018,T2,4.18,1896,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SESE-7,WD,7,6,2018,T2,4.36,1978,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SEAL-8,WD,7,6,2018,T2,4.13,1873,
GX - 07/06/2018,GX - 07/09/2018,1,B2,VAMA-3,WD,7,6,2018,T2,4.38,1987,
GX - 07/20/2018,GX - 7/21/2018,3,B1,FERU-1,WD,7,20,2018,T1,3.74,1696,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SEAC-3,WD,7,7,2018,T3,4.17,1891,
GX - 07/07/2018,GX - 07/09/2018,1,B2,DEFL-20,WD,7,7,2018,T3,3.86,1751,
GX - 07/07/2018,GX - 07/09/2018,1,B2,EMNI-9,WD,7,7,2018,T3,4.46,2023,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SC-7,WD,7,7,2018,T3,3.78,1715,
GX - 07/07/2018,GX - 07/09/2018,1,B2,PLMA-6,WD,7,7,2018,T3,4.03,1828,
GX - 07/07/2018,GX - 07/09/2018,1,B2,DASP-6,WD,7,7,2018,T3,3.85,1746,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SYNO-17,WD,7,7,2018,T3,3.94,1787,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SOBI-9,WD,7,7,2018,T3,3.75,1701,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SITR-2,WD,7,7,2018,T3,4.07,1846,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SESE-7,WD,7,7,2018,T3,4.27,1937,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SEAL-8,WD,7,7,2018,T3,3.97,1801,
GX - 07/07/2018,GX - 07/09/2018,1,B2,VAMA-3,WD,7,7,2018,T3,4.27,1937,
GX - 07/20/2018,GX - 7/21/2018,3,B1,FERU-1,WD,7,20,2018,T2,4.59,2082,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SEAC-3,WD,7,7,2018,T4,4.07,1846,
GX - 07/07/2018,GX - 07/09/2018,1,B2,DEFL-20,WD,7,7,2018,T4,3.74,1696,
GX - 07/07/2018,GX - 07/09/2018,1,B2,EMNI-9,WD,7,7,2018,T4,4.35,1973,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SC-7,WD,7,7,2018,T4,3.70,1678,
GX - 07/07/2018,GX - 07/09/2018,1,B2,PLMA-6,WD,7,7,2018,T4,3.96,1796,
GX - 07/07/2018,GX - 07/09/2018,1,B2,DASP-6,WD,7,7,2018,T4,3.77,1710,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SYNO-17,WD,7,7,2018,T4,3.78,1715,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SOBI-9,WD,7,7,2018,T4,3.55,1610,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SITR-2,WD,7,7,2018,T4,3.99,1810,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SESE-7,WD,7,7,2018,T4,4.18,1896,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SEAL-8,WD,7,7,2018,T4,3.87,1755,
GX - 07/07/2018,GX - 07/09/2018,1,B2,VAMA-3,WD,7,7,2018,T4,4.22,1914,
GX - 07/21/2018,GX - 07/21/2018,3,B1,FERU-1,WD,7,21,2018,T3,4.51,2046,
GX - 07/06/2018,GX - 07/09/2018,1,B2,EMNI-15,WD,7,6,2018,T1,3.03,1374,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SC-11,WD,7,6,2018,T1,3.20,1451,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SOBI-13,WD,7,6,2018,T1,3.04,1379,
GX - 07/06/2018,GX - 07/09/2018,1,B2,PLMA-18,WD,7,6,2018,T1,3.22,1461,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SYNO-19,WD,7,6,2018,T1,2.84,1288,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SESE-10,WD,7,6,2018,T1,3.38,1533,
GX - 07/06/2018,GX - 07/09/2018,1,B2,VAMA-17,WD,7,6,2018,T1,3.65,1656,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SITR-20,WD,7,6,2018,T1,3.24,1470,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SEAL-12,WD,7,6,2018,T1,3.21,1456,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SEAC-13,WD,7,6,2018,T1,3.30,1497,
GX - 07/06/2018,GX - 07/09/2018,1,B2,DASP-15,WD,7,6,2018,T1,3.46,1569,
GX - 07/06/2018,GX - 07/09/2018,1,B2,DEFL-1,WD,7,6,2018,T1,3.42,1551,
GX - 07/29/2018,GX - 07/29/2018,4,B1,FERU-1,WD,7,29,2018,T4,4.40,1996,
GX - 07/06/2018,GX - 07/09/2018,1,B2,EMNI-15,WD,7,6,2018,T2,3.96,1796,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SC-11,WD,7,6,2018,T2,4.00,1814,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SOBI-13,WD,7,6,2018,T2,3.93,1783,
GX - 07/06/2018,GX - 07/09/2018,1,B2,PLMA-18,WD,7,6,2018,T2,4.20,1905,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SYNO-19,WD,7,6,2018,T2,3.81,1728,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SESE-10,WD,7,6,2018,T2,4.22,1914,
GX - 07/06/2018,GX - 07/09/2018,1,B2,VAMA-17,WD,7,6,2018,T2,4.28,1941,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SITR-20,WD,7,6,2018,T2,4.20,1905,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SEAL-12,WD,7,6,2018,T2,4.17,1891,
GX - 07/06/2018,GX - 07/09/2018,1,B2,SEAC-13,WD,7,6,2018,T2,4.19,1901,
GX - 07/06/2018,GX - 07/09/2018,1,B2,DASP-15,WD,7,6,2018,T2,4.09,1855,
GX - 07/06/2018,GX - 07/09/2018,1,B2,DEFL-1,WD,7,6,2018,T2,4.12,1869,
GX - 07/27/2018,GX - 07/27/2018,4,B1,FERU-1,WD,7,27,2018,T1,3.84,1742,
GX - 07/07/2018,GX - 07/09/2018,1,B2,EMNI-15,WD,7,7,2018,T3,3.88,1760,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SC-11,WD,7,7,2018,T3,3.91,1774,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SOBI-13,WD,7,7,2018,T3,3.79,1719,
GX - 07/07/2018,GX - 07/09/2018,1,B2,PLMA-18,WD,7,7,2018,T3,4.07,1846,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SYNO-19,WD,7,7,2018,T3,3.73,1692,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SESE-10,WD,7,7,2018,T3,4.12,1869,
GX - 07/07/2018,GX - 07/09/2018,1,B2,VAMA-17,WD,7,7,2018,T3,4.18,1896,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SITR-20,WD,7,7,2018,T3,4.08,1851,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SEAL-12,WD,7,7,2018,T3,4.01,1819,
GX - 07/07/2018,GX - 07/09/2018,1,B2,SEAC-13,WD,7,7,2018,T3,4.07,1846,
GX - 07/07/2018,GX - 07/09/2018,1,B2,DASP-15,WD,7,7,2018,T3,4.00,1814,
GX - 07/07/2018,GX - 07/09/2018,1,B2,DEFL-1,WD,7,7,2018,T3,4.00,1814,
GX - 07/27/2018,GX - 07/27/2018,4,B1,FERU-1,WD,7,27,2018,T2,4.65,2109,
GX - 07/08/2018,GX - 07/09/2018,1,B2,EMNI-15,WD,7,8,2018,T4,3.76,1705,
GX - 07/08/2018,GX - 07/09/2018,1,B2,SC-11,WD,7,8,2018,T4,3.81,1728,
GX - 07/08/2018,GX - 07/09/2018,1,B2,SOBI-13,WD,7,8,2018,T4,3.64,1651,
GX - 07/08/2018,GX - 07/09/2018,1,B2,PLMA-18,WD,7,8,2018,T4,3.92,1778,
GX - 07/08/2018,GX - 07/09/2018,1,B2,SYNO-19,WD,7,8,2018,T4,3.63,1647,
GX - 07/08/2018,GX - 07/09/2018,1,B2,SESE-10,WD,7,8,2018,T4,4.02,1823,
GX - 07/08/2018,GX - 07/09/2018,1,B2,VAMA-17,WD,7,8,2018,T4,4.08,1851,
GX - 07/08/2018,GX - 07/09/2018,1,B2,SITR-20,WD,7,8,2018,T4,4.00,1814,
GX - 07/08/2018,GX - 07/09/2018,1,B2,SEAL-12,WD,7,8,2018,T4,3.87,1755,
GX - 07/08/2018,GX - 07/09/2018,1,B2,SEAC-13,WD,7,8,2018,T4,3.96,1796,
GX - 07/08/2018,GX - 07/09/2018,1,B2,DASP-15,WD,7,8,2018,T4,3.92,1778,
GX - 07/08/2018,GX - 07/09/2018,1,B2,DEFL-1,WD,7,8,2018,T4,3.90,1769,
GX - 07/28/2018,GX - 07/28/2018,4,B1,FERU-1,WD,7,28,2018,T3,4.54,2059,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SOBI-20,WW,7,7,2018,T1,2.96,1343,
GX - 07/07/2018,GX - 07/09/2018,1,B1,FERU-3,WW,7,7,2018,T1,2.78,1261,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SESE-9,WW,7,7,2018,T1,3.39,1538,
GX - 07/07/2018,GX - 07/09/2018,1,B1,VAMA-16,WW,7,7,2018,T1,3.22,1461,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SEAC-9,WW,7,7,2018,T1,3.23,1465,
GX - 07/07/2018,GX - 07/09/2018,1,B1,PLMA-11,WW,7,7,2018,T1,3.48,1578,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SC-14,WW,7,7,2018,T1,2.99,1356,
GX - 07/07/2018,GX - 07/09/2018,1,B1,EMNI-2,WW,7,7,2018,T1,3.85,1746,
GX - 07/07/2018,GX - 07/09/2018,1,B1,DASP-9,WW,7,7,2018,T1,3.01,1365,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SEAL-5,WW,7,7,2018,T1,3.12,1415,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SYNO-13,WW,7,7,2018,T1,2.86,1297,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SITR-4,WW,7,7,2018,T1,3.57,1619,
GX - 07/07/2018,GX - 07/09/2018,1,B1,DEFL-15,WW,7,7,2018,T1,3.07,1393,
GX - 07/07/2018,GX - 07/09/2018,1,B1,VAMA-1,WW,7,7,2018,T1,3.37,1529,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SESE-19,WW,7,7,2018,T1,3.82,1733,
GX - 07/07/2018,GX - 07/09/2018,1,B1,FERU-16,WW,7,7,2018,T1,4.28,1941,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SEAL-7,WW,7,7,2018,T1,3.10,1406,
GX - 07/07/2018,GX - 07/09/2018,1,B1,DEFL-2,WW,7,7,2018,T1,3.48,1578,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SYNO-14,WW,7,7,2018,T1,2.91,1320,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SITR-11,WW,7,7,2018,T1,3.57,1619,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SOBI-11,WW,7,7,2018,T1,2.92,1324,
GX - 07/07/2018,GX - 07/09/2018,1,B1,EMNI-1,WW,7,7,2018,T1,3.60,1633,
GX - 07/07/2018,GX - 07/09/2018,1,B1,DASP-17,WW,7,7,2018,T1,3.06,1388,
GX - 07/07/2018,GX - 07/09/2018,1,B1,PLMA-5,WW,7,7,2018,T1,3.09,1402,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SEAC-12,WW,7,7,2018,T1,3.84,1742,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SC-9,WW,7,7,2018,T1,3.20,1451,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SOBI-20,WW,7,7,2018,T2,3.82,1733,
GX - 07/07/2018,GX - 07/09/2018,1,B1,FERU-3,WW,7,7,2018,T2,3.72,1687,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SESE-9,WW,7,7,2018,T2,4.23,1919,
GX - 07/07/2018,GX - 07/09/2018,1,B1,VAMA-16,WW,7,7,2018,T2,3.95,1792,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SEAC-9,WW,7,7,2018,T2,4.18,1896,
GX - 07/07/2018,GX - 07/09/2018,1,B1,PLMA-11,WW,7,7,2018,T2,4.31,1955,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SC-14,WW,7,7,2018,T2,3.97,1801,
GX - 07/07/2018,GX - 07/09/2018,1,B1,EMNI-2,WW,7,7,2018,T2,4.55,2064,
GX - 07/07/2018,GX - 07/09/2018,1,B1,DASP-9,WW,7,7,2018,T2,3.75,1701,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SEAL-5,WW,7,7,2018,T2,3.83,1737,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SYNO-13,WW,7,7,2018,T2,3.57,1619,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SITR-4,WW,7,7,2018,T2,4.17,1891,
GX - 07/07/2018,GX - 07/09/2018,1,B1,DEFL-15,WW,7,7,2018,T2,3.90,1769,
GX - 07/07/2018,GX - 07/09/2018,1,B1,VAMA-1,WW,7,7,2018,T2,4.18,1896,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SESE-19,WW,7,7,2018,T2,4.44,2014,
GX - 07/07/2018,GX - 07/09/2018,1,B1,FERU-16,WW,7,7,2018,T2,4.31,1955,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SEAL-7,WW,7,7,2018,T2,3.87,1755,
GX - 07/07/2018,GX - 07/09/2018,1,B1,DEFL-2,WW,7,7,2018,T2,4.15,1882,
GX - 07/07/2018,GX - 07/09/2018,1,B1,SYNO-14,WW,7,7,2018,T2,3.67,1665,
